DATE,GGGDTAINA188N
1991-01-01,75.332
1992-01-01,77.405
1993-01-01,76.978
1994-01-01,73.464
1995-01-01,69.654
1996-01-01,65.977
1997-01-01,67.818
1998-01-01,68.09
1999-01-01,70.038
2000-01-01,73.649
2001-01-01,78.73
2002-01-01,82.851
2003-01-01,84.403
2004-01-01,83.427
2005-01-01,81.012
2006-01-01,77.214
2007-01-01,74.117
2008-01-01,72.837
2009-01-01,71.518
2010-01-01,66.400
2011-01-01,68.648
2012-01-01,67.985
2013-01-01,67.713
2014-01-01,67.102
2015-01-01,69.049
2016-01-01,68.943
2017-01-01,69.677
2018-01-01,70.392
2019-01-01,75.116
2020-01-01,89.180
